latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.0918,40.5227,300.6,1,1,2004-01-04,0809,Terra,MODIS,40,6.2,280.3,6.1,D,0
36.7329,36.2149,303.4,1.3,1.1,2004-01-16,2348,Aqua,MODIS,55,6.2,284.5,11.1,N,2
36.7285,36.2118,302.9,1.1,1,2004-01-18,0821,Terra,MODIS,41,6.2,288.4,6.8,D,2
39.9792,26.2074,301.5,2.3,1.5,2004-01-20,0947,Terra,MODIS,36,6.2,283.4,17.7,D,0
36.7298,36.2104,301.4,1.6,1.2,2004-02-06,0852,Terra,MODIS,0,6.2,287.4,10.9,D,2
39.7067,31.6849,322.6,1.2,1.1,2004-02-07,1110,Aqua,MODIS,82,6.2,293,23.7,D,0
38.2898,26.8819,302.9,1.1,1,2004-02-07,1110,Aqua,MODIS,54,6.2,292.4,5,D,0
38.3455,26.8854,301,1.1,1,2004-02-07,1110,Aqua,MODIS,44,6.2,290.8,3.7,D,0
38.7357,26.9445,305,1.1,1,2004-02-07,1110,Aqua,MODIS,60,6.2,294.9,5.5,D,0
38.5049,28.266,306.3,1,1,2004-02-07,1110,Aqua,MODIS,63,6.2,293.1,5.3,D,0
36.7948,31.9312,302.6,1.1,1.1,2004-02-07,1110,Aqua,MODIS,53,6.2,290.7,5.2,D,0
39.3698,31.088,305.9,1.1,1,2004-02-07,1110,Aqua,MODIS,51,6.2,290.3,5.5,D,0
39.3683,31.0754,308.9,1.1,1,2004-02-07,1110,Aqua,MODIS,68,6.2,290.5,7.7,D,0
39.374,31.0816,313.4,1.1,1,2004-02-07,1110,Aqua,MODIS,74,6.2,290,11.9,D,0
39.1674,31.9368,304.9,1.2,1.1,2004-02-07,1110,Aqua,MODIS,60,6.2,292.4,5.6,D,0
37.7872,28.9713,302.4,1,1,2004-02-07,1110,Aqua,MODIS,47,6.2,288.4,4.8,D,0
37.4125,29.0599,304.1,1,1,2004-02-07,1110,Aqua,MODIS,54,6.2,293.3,4,D,0
39.8053,31.9957,307.9,1.2,1.1,2004-02-07,1110,Aqua,MODIS,66,6.2,291.3,9.1,D,0
39.7051,31.6713,310.9,1.2,1.1,2004-02-07,1110,Aqua,MODIS,71,6.2,292.2,10.9,D,0
39.2808,31.9492,304.4,1.2,1.1,2004-02-07,1110,Aqua,MODIS,59,6.2,292.3,5.6,D,0
41.2835,27.1861,302.1,1,1,2004-02-07,1111,Aqua,MODIS,51,6.2,290.8,4.5,D,0
41.2389,36.4635,302.5,1,1,2004-02-08,0838,Terra,MODIS,46,6.2,291,4.9,D,0
39.3277,32.0832,302.5,1.1,1,2004-02-08,0839,Terra,MODIS,52,6.2,290.7,4.5,D,0
39.02,32.4807,301.4,1.1,1,2004-02-08,0839,Terra,MODIS,42,6.2,291.1,3.8,D,0
39.4823,31.8094,302.5,1.1,1.1,2004-02-08,0839,Terra,MODIS,47,6.2,288.1,5.2,D,0
39.1722,31.936,312.2,1.1,1,2004-02-08,0839,Terra,MODIS,72,6.2,291.7,11.5,D,0
38.4472,31.3586,305.5,1.1,1.1,2004-02-08,0839,Terra,MODIS,47,6.2,287.4,8.5,D,0
39.9837,31.6994,301.5,1.1,1.1,2004-02-08,0839,Terra,MODIS,47,6.2,285.7,6.3,D,0
