latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.1612,35.9769,305.5,1.2,1.1,2014-01-03,1101,Aqua,MODIS,62,6.2,291.6,6.1,D,0
37.1621,35.9853,304.2,1.2,1.1,2014-01-03,1101,Aqua,MODIS,58,6.2,291.7,5,D,0
36.7277,36.2145,309.4,1,1,2014-01-04,0827,Terra,MODIS,52,6.2,287.1,10.2,D,0
37.0288,39.9289,303,1.7,1.3,2014-01-04,1005,Aqua,MODIS,54,6.2,285.7,14,D,0
37.0023,39.8564,301.4,1.8,1.3,2014-01-04,1005,Aqua,MODIS,46,6.2,285.4,12.1,D,0
36.9953,35.5582,304.5,1,1,2014-01-05,1048,Aqua,MODIS,59,6.2,291.8,4.7,D,0
37.1569,40.1243,314.2,1.4,1.2,2014-01-05,1048,Aqua,MODIS,74,6.2,288.1,22,D,0
41.1858,32.6153,325.4,1,1,2014-01-05,1050,Aqua,MODIS,84,6.2,280.9,27.7,D,0
36.9996,39.8321,305.7,1,1,2014-01-06,0814,Terra,MODIS,61,6.2,284.5,7.8,D,0
37.1643,40.2199,302.2,1,1,2014-01-06,0814,Terra,MODIS,51,6.2,284,6.6,D,0
36.9979,39.8432,306.4,1,1,2014-01-06,0814,Terra,MODIS,63,6.2,284.1,8.1,D,0
37.1686,40.1292,308.8,1,1,2014-01-06,0814,Terra,MODIS,68,6.2,284.1,11,D,0
37.0084,39.8341,311.4,1,1,2014-01-06,0814,Terra,MODIS,67,6.2,284.4,11.3,D,0
37.1322,40.6008,312,2.4,1.5,2014-01-06,0953,Aqua,MODIS,72,6.2,287,45.3,D,0
37.132,40.5772,300.6,2.4,1.5,2014-01-06,0953,Aqua,MODIS,22,6.2,287.5,15.7,D,0
37.1378,40.6037,308.1,2.4,1.5,2014-01-06,0953,Aqua,MODIS,67,6.2,286.6,32.6,D,0
36.7456,39.5485,305.6,2.9,1.6,2014-01-06,0953,Aqua,MODIS,62,6.2,286.2,37.5,D,0
36.7267,39.5525,300.5,3.1,1.7,2014-01-07,0857,Terra,MODIS,39,6.2,285.2,25.6,D,0
37.0274,39.8045,309.1,3.2,1.7,2014-01-07,0857,Terra,MODIS,68,6.2,288,50,D,0
37.0212,39.8344,318.9,3.2,1.7,2014-01-07,0857,Terra,MODIS,79,6.2,288.6,93.1,D,0
37.0294,39.8002,304.6,3.2,1.7,2014-01-07,0857,Terra,MODIS,59,6.2,288,34.8,D,0
37.0191,39.8387,315.3,3.2,1.7,2014-01-07,0857,Terra,MODIS,76,6.2,288.4,75.8,D,0
37.1567,40.1601,307,1,1,2014-01-07,1036,Aqua,MODIS,65,6.2,292.5,6.5,D,0
37.7738,39.2711,302.7,1,1,2014-01-07,1036,Aqua,MODIS,53,6.2,289.5,4.5,D,0
