latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.0926,36.7287,326.9,1.1,1.1,2001-01-09,0832,Terra,MODIS,85,6.2,287.9,31.4,D,0
36.7285,36.2117,313.6,1.1,1,2001-01-09,0833,Terra,MODIS,56,6.2,290.4,14.1,D,0
41.2556,31.4192,307.4,1,1,2001-01-12,0902,Terra,MODIS,0,6.2,283.8,9.8,D,0
36.7084,38.9258,303,1.1,1,2001-01-16,0838,Terra,MODIS,54,6.2,288,6.4,D,0
39.005,34.0977,304.2,1,1,2001-01-21,0856,Terra,MODIS,58,6.2,280.5,8.4,D,0
37.2831,35.1942,301.8,1.1,1.1,2001-01-21,0857,Terra,MODIS,49,6.2,285.9,7.6,D,0
37.5129,35.9685,305.3,1.1,1.1,2001-01-25,0832,Terra,MODIS,61,6.2,284.2,10.5,D,0
38.5847,28.1117,309.7,1,1,2001-01-26,0915,Terra,MODIS,69,6.2,284.2,10.5,D,0
38.2581,35.1786,304.2,1.8,1.3,2001-01-27,0820,Terra,MODIS,58,6.2,280.1,19,D,0
37.0565,40.4457,300,1,1,2001-01-27,0820,Terra,MODIS,20,6.2,288,3.8,D,0
37.0549,40.457,303.7,1,1,2001-01-27,0820,Terra,MODIS,57,6.2,287.6,5.8,D,0
40.957,33.9537,300.1,1.1,1,2001-01-28,0902,Terra,MODIS,26,6.2,281.3,6.3,D,0
40.1783,33.8779,307,1.1,1,2001-01-28,0902,Terra,MODIS,65,6.2,283.5,10.8,D,0
40.6404,29.0298,309.1,1.1,1.1,2001-01-28,0902,Terra,MODIS,52,6.2,287.9,11.8,D,0
39.604,32.6138,305.7,1,1,2001-01-28,0903,Terra,MODIS,62,6.2,284,8.6,D,0
39.3648,31.0688,311.5,1,1,2001-01-28,0903,Terra,MODIS,67,6.2,285.3,11.6,D,0
39.2933,31.182,316,1,1,2001-01-28,0903,Terra,MODIS,76,6.2,285.6,14.4,D,0
39.2845,31.1799,308.9,1,1,2001-01-28,0903,Terra,MODIS,43,6.2,285.1,8.7,D,0
38.9377,31.8924,310.9,1,1,2001-01-28,0903,Terra,MODIS,71,6.2,279.9,12.6,D,0
38.2586,35.1975,312.9,1.3,1.1,2001-01-28,0903,Terra,MODIS,71,6.2,284.9,19.3,D,0
38.8569,27.7805,303.5,1.2,1.1,2001-01-28,0903,Terra,MODIS,56,6.2,289.5,6.7,D,0
40.0237,34.6023,302.9,1,1,2001-01-30,0850,Terra,MODIS,54,6.2,285.5,5.9,D,0
39.9195,32.0449,309.7,1.1,1,2001-01-30,0850,Terra,MODIS,69,6.2,287.2,11.8,D,0
37.807,29.1999,300.6,1.4,1.2,2001-01-30,0851,Terra,MODIS,39,6.2,287.4,7.5,D,0
36.7295,36.213,301.2,1,1,2001-01-30,1954,Terra,MODIS,39,6.2,285.7,6.6,N,0
40.8256,33.1849,301.6,2.4,1.5,2001-01-31,0933,Terra,MODIS,21,6.2,287.7,15.2,D,0
40.829,33.1226,301.9,2.3,1.5,2001-01-31,0933,Terra,MODIS,50,6.2,287.1,17.7,D,0
40.8229,33.1494,300.8,2.4,1.5,2001-01-31,0933,Terra,MODIS,34,6.2,287.1,16.4,D,0
39.976,34.9208,309.8,3.2,1.7,2001-01-31,0933,Terra,MODIS,69,6.2,288.9,50.5,D,0
39.9781,34.9145,308.7,3.2,1.7,2001-01-31,0933,Terra,MODIS,68,6.2,289.2,44,D,0
39.7709,34.4019,305.1,3,1.6,2001-01-31,0933,Terra,MODIS,61,6.2,289.8,24.9,D,0
39.7816,34.2305,304.4,2.9,1.6,2001-01-31,0933,Terra,MODIS,59,6.2,293.3,17.2,D,0
39.6766,33.1359,301.1,2.5,1.5,2001-01-31,0933,Terra,MODIS,44,6.2,286.6,18.8,D,0
39.4172,33.9781,308.5,2.9,1.6,2001-01-31,0933,Terra,MODIS,67,6.2,287.1,40.8,D,0
39.4096,34.0095,303.8,2.9,1.6,2001-01-31,0933,Terra,MODIS,57,6.2,288.9,26.3,D,0
39.416,33.9704,303.8,2.9,1.6,2001-01-31,0933,Terra,MODIS,57,6.2,286.5,27.4,D,0
39.4084,34.0023,308.6,2.9,1.6,2001-01-31,0933,Terra,MODIS,67,6.2,288.5,40.8,D,0
39.4388,33.283,308,2.6,1.6,2001-01-31,0933,Terra,MODIS,66,6.2,288.3,32.9,D,0
