latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.7255,36.2096,318.3,1,1,2007-01-01,0827,Terra,MODIS,59,6.2,286.3,18,D,0
39.843,31.847,301.6,1.1,1.1,2007-01-02,1048,Aqua,MODIS,48,6.2,277.9,8.4,D,0
38.9322,31.9367,348.5,2.1,1.4,2007-01-03,1131,Aqua,MODIS,90,6.2,287.9,175.3,D,0
38.9909,31.5206,300.3,2,1.4,2007-01-03,1131,Aqua,MODIS,35,6.2,285.1,11.9,D,0
39.5728,30.7605,311,1.8,1.3,2007-01-03,1131,Aqua,MODIS,61,6.2,285,26,D,0
40.2787,36.1491,345.3,1.6,1.2,2007-01-04,0856,Terra,MODIS,93,6.2,277.1,110.4,D,0
40.2748,36.1613,334.3,1.6,1.2,2007-01-04,0856,Terra,MODIS,81,6.2,274.6,74.3,D,0
40.2784,36.1432,344,1.6,1.2,2007-01-04,0856,Terra,MODIS,92,6.2,276.3,104.9,D,0
36.5514,36.4354,300.5,1.1,1,2007-01-04,1035,Aqua,MODIS,37,6.2,285.8,5.3,D,0
38.7351,26.9455,301.3,1,1,2007-01-05,1119,Aqua,MODIS,46,6.2,285.8,6.3,D,0
36.6017,35.355,303,1.3,1.1,2007-01-07,1106,Aqua,MODIS,28,6.2,288.6,8,D,0
36.6396,35.3184,335.7,1.3,1.1,2007-01-07,1106,Aqua,MODIS,78,6.2,290.7,54.8,D,0
38.7365,26.9505,300.9,1.1,1,2007-01-09,0915,Terra,MODIS,39,6.2,283.2,6,D,2
36.4515,32.1637,303.6,1.1,1,2007-01-09,1054,Aqua,MODIS,43,6.2,280.6,8.7,D,0
37.1931,35.895,303.2,1.1,1,2007-01-09,1054,Aqua,MODIS,55,6.2,293.1,4.3,D,0
37.4634,32.9458,301.3,1,1,2007-01-09,1054,Aqua,MODIS,46,6.2,282.7,6,D,0
41.2653,31.4241,301.8,1,1,2007-01-09,1055,Aqua,MODIS,0,6.2,286.5,6.3,D,0
38.5687,27.0119,315,1.3,1.1,2007-01-10,1137,Aqua,MODIS,75,6.2,287.2,19.5,D,0
40.3942,29.1421,306.7,1.8,1.3,2007-01-10,1138,Aqua,MODIS,64,6.2,284.8,23,D,0
40.396,29.1631,301.5,1.8,1.3,2007-01-10,1138,Aqua,MODIS,48,6.2,284.9,15.7,D,0
38.741,26.9481,300.8,1,1,2007-01-11,0903,Terra,MODIS,41,6.2,287.3,5.2,D,0
39.7046,35.1777,300.8,1,1,2007-01-11,1042,Aqua,MODIS,42,6.2,286.6,4.3,D,0
36.7881,39.1585,307.2,1,1,2007-01-13,1029,Aqua,MODIS,65,6.2,285.9,7.5,D,0
38.7348,26.9436,300.4,1.1,1,2007-01-14,1113,Aqua,MODIS,37,6.2,289.1,4.9,D,0
37.8156,29.1788,300.6,1,1,2007-01-14,1113,Aqua,MODIS,40,6.2,287.7,4.3,D,0
36.8696,34.7633,300.6,1,1,2007-01-15,0839,Terra,MODIS,39,6.2,289,4,D,0
36.1368,36.0163,302.6,1.1,1.1,2007-01-15,0839,Terra,MODIS,53,6.2,284.2,8.2,D,0
38.7375,26.9517,303.3,1.2,1.1,2007-01-16,0922,Terra,MODIS,56,6.2,288.1,8.8,D,0
37.5124,32.8999,302.3,1,1,2007-01-16,1100,Aqua,MODIS,52,6.2,286.7,5.5,D,0
36.5825,35.3631,312.9,1.1,1.1,2007-01-16,1100,Aqua,MODIS,73,6.2,294.4,11.8,D,0
41.6577,36.0434,336.6,1.1,1,2007-01-17,0825,Terra,MODIS,0,6.2,281.6,46.1,D,0
37.8041,27.732,300.4,1.7,1.3,2007-01-17,1143,Aqua,MODIS,37,6.2,288.2,8.1,D,0
