latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.7341,39.6143,301.9,1.1,1,2015-01-01,1042,Aqua,MODIS,50,6.2,285.6,6.4,D,0
37.6457,33.1715,320.5,1.2,1.1,2015-01-01,1042,Aqua,MODIS,76,6.2,279.3,27.3,D,0
36.9876,40.2036,300.4,1,1,2015-01-10,1036,Aqua,MODIS,37,6.2,281.3,7.1,D,0
40.349,27.3565,308.3,1,1,2015-01-11,1120,Aqua,MODIS,58,6.2,284.6,9.9,D,0
37.0642,39.9018,309,1.1,1,2015-01-12,1024,Aqua,MODIS,56,6.2,283.6,10.1,D,0
37.0623,39.8901,312.7,1.1,1,2015-01-12,1024,Aqua,MODIS,73,6.2,284.8,13.1,D,0
37.0094,40.258,308.6,1,1,2015-01-12,1024,Aqua,MODIS,67,6.2,285.8,10.6,D,0
36.9248,39.7839,300.6,1.1,1,2015-01-12,1024,Aqua,MODIS,40,6.2,283.4,6.2,D,0
37.0192,39.9321,300.1,1.7,1.3,2015-01-13,0750,Terra,MODIS,27,6.2,283.1,11.8,D,0
36.7476,39.5905,306.1,1.8,1.3,2015-01-13,0750,Terra,MODIS,62,6.2,282.7,19.8,D,0
36.7542,39.5975,307,1.8,1.3,2015-01-13,0750,Terra,MODIS,65,6.2,282.5,22.9,D,0
37.1055,40.161,304.3,2.7,1.6,2015-01-13,1107,Aqua,MODIS,59,6.2,286.3,27.3,D,0
37.1108,40.1527,304.3,2.7,1.6,2015-01-13,1107,Aqua,MODIS,59,6.2,286,26.8,D,0
37.0055,39.9333,304.3,2.6,1.5,2015-01-13,1107,Aqua,MODIS,59,6.2,287.5,25.9,D,0
37.0127,39.9084,300,2.6,1.5,2015-01-13,1107,Aqua,MODIS,18,6.2,287,15.9,D,0
36.7292,36.2139,305.6,1,1,2015-01-14,0833,Terra,MODIS,46,6.2,287.6,7.8,D,0
36.9919,39.9086,300.1,1.4,1.2,2015-01-14,0833,Terra,MODIS,26,6.2,284.9,8.1,D,0
36.9447,40.2894,302.5,1.4,1.2,2015-01-14,1011,Aqua,MODIS,21,6.2,288.3,7.4,D,0
36.7582,39.5834,309.2,1.5,1.2,2015-01-14,1011,Aqua,MODIS,68,6.2,287.9,17,D,0
36.7614,39.5997,306.2,1.5,1.2,2015-01-14,1011,Aqua,MODIS,63,6.2,286.7,13.4,D,0
36.9401,40.2853,306.5,1.4,1.2,2015-01-14,1011,Aqua,MODIS,64,6.2,288.2,11.3,D,0
37.0493,40.3104,301.2,1.4,1.2,2015-01-14,1012,Aqua,MODIS,27,6.2,288.5,6,D,0
37.0428,40.2176,300.5,1.4,1.2,2015-01-14,1012,Aqua,MODIS,36,6.2,288.6,6,D,0
37.1592,40.4598,317.7,1.3,1.1,2015-01-14,1012,Aqua,MODIS,78,6.2,289.9,22.4,D,0
36.9415,39.7398,302.2,1.5,1.2,2015-01-14,1012,Aqua,MODIS,51,6.2,286.9,9.1,D,0
36.9378,39.7475,300.7,1.5,1.2,2015-01-14,1012,Aqua,MODIS,25,6.2,287.4,7.1,D,0
37.119,40.3994,300.9,1.3,1.1,2015-01-14,1012,Aqua,MODIS,30,6.2,288.9,5.8,D,0
37.0298,40.3069,302.2,1.4,1.2,2015-01-14,1012,Aqua,MODIS,45,6.2,289.3,7,D,0
37.0743,40.2717,303.8,1.4,1.2,2015-01-14,1012,Aqua,MODIS,57,6.2,288.3,9,D,0
39.7434,44.7005,304.9,1,1,2015-01-14,1012,Aqua,MODIS,43,6.2,282.7,7.8,D,0
39.7418,44.6889,303.2,1,1,2015-01-14,1012,Aqua,MODIS,35,6.2,282,6.8,D,0
37.1083,40.3404,304.3,1.4,1.2,2015-01-14,1012,Aqua,MODIS,59,6.2,288.2,9,D,0
37.04,40.2025,304.6,1.4,1.2,2015-01-14,1012,Aqua,MODIS,59,6.2,289,9.8,D,0
36.9747,39.9136,306.1,1.4,1.2,2015-01-14,1012,Aqua,MODIS,35,6.2,287.9,11.4,D,0
36.9851,39.9105,309.8,1.4,1.2,2015-01-14,1012,Aqua,MODIS,69,6.2,288.2,15.7,D,0
37.1116,40.417,302.2,1.3,1.1,2015-01-14,1012,Aqua,MODIS,51,6.2,289.1,7.3,D,0
37.1781,40.1568,302.6,1.4,1.2,2015-01-14,1012,Aqua,MODIS,50,6.2,288.8,7.9,D,0
37.1651,40.1447,302.1,1.4,1.2,2015-01-14,1012,Aqua,MODIS,37,6.2,287.5,7.2,D,0
37.1242,40.1567,309.3,1.4,1.2,2015-01-14,1012,Aqua,MODIS,68,6.2,287.3,15.1,D,0
37.0667,40.452,303.4,1.3,1.1,2015-01-14,1012,Aqua,MODIS,56,6.2,288.4,8.5,D,0
37.0406,40.3663,300.2,1.4,1.2,2015-01-14,1012,Aqua,MODIS,23,6.2,288.6,5.7,D,0
37.053,40.2146,302.3,1.4,1.2,2015-01-14,1012,Aqua,MODIS,25,6.2,288.5,7.1,D,0
37.1789,40.2201,302.3,1.4,1.2,2015-01-14,1012,Aqua,MODIS,22,6.2,289.1,6.8,D,0
36.7498,39.5914,305.8,1.1,1,2015-01-17,1042,Aqua,MODIS,62,6.2,288.3,8.3,D,0
36.7513,39.6037,310.7,1.1,1,2015-01-17,1042,Aqua,MODIS,70,6.2,287.4,12.3,D,0
36.9111,39.81,305.3,2.6,1.5,2015-01-19,0851,Terra,MODIS,61,6.2,286.3,28.5,D,0
36.8977,39.8053,302.7,2.6,1.5,2015-01-19,0851,Terra,MODIS,53,6.2,285.6,22.5,D,0
36.9055,39.801,307.7,2.6,1.5,2015-01-19,0851,Terra,MODIS,44,6.2,286.3,32,D,0
37.153,40.2154,300.5,1,1,2015-01-19,1030,Aqua,MODIS,38,6.2,286.1,4.5,D,0
36.7679,39.7836,306.5,1,1,2015-01-19,1030,Aqua,MODIS,64,6.2,289.9,6.8,D,0
36.9951,39.9478,305.1,1,1,2015-01-19,1030,Aqua,MODIS,35,6.2,291.4,4.9,D,0
37.2002,40.5491,311.4,1,1,2015-01-19,1030,Aqua,MODIS,71,6.2,290.4,10.5,D,0
36.9101,39.8137,313.9,1,1,2015-01-19,1030,Aqua,MODIS,41,6.2,291,10.4,D,0
37.2556,39.6514,304.2,1,1,2015-01-19,1030,Aqua,MODIS,58,6.2,290.4,4.9,D,0
37.1987,40.538,302.7,1,1,2015-01-19,1030,Aqua,MODIS,53,6.2,291.5,4.6,D,0
37.2746,39.5316,303.2,1,1,2015-01-19,1030,Aqua,MODIS,55,6.2,292.6,4,D,0
37.1437,40.3436,306.8,1,1,2015-01-19,1030,Aqua,MODIS,62,6.2,286.4,7.2,D,0
