latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.9486,28.1108,308.5,1,1,2011-01-09,1113,Aqua,MODIS,67,6.2,283.8,10.3,D,0
38.9397,28.113,309.6,1,1,2011-01-09,1113,Aqua,MODIS,69,6.2,283.2,11.2,D,0
36.7379,36.2091,301.7,1.1,1,2011-01-10,0838,Terra,MODIS,37,6.2,289.2,5.9,D,0
37.9398,29.0685,303.4,3.3,1.7,2011-01-10,1156,Aqua,MODIS,56,6.2,286.9,35.9,D,0
37.9369,29.0612,304.2,3.3,1.7,2011-01-10,1156,Aqua,MODIS,58,6.2,286.9,36.4,D,0
37.138,42.4515,300.1,1.3,1.1,2011-01-12,1005,Aqua,MODIS,22,6.2,286.3,5.9,D,0
37.2984,37.0377,300.7,1,1,2011-01-13,1048,Aqua,MODIS,39,6.2,283.1,5.6,D,0
37.3046,37.0305,307.6,1,1,2011-01-13,1048,Aqua,MODIS,66,6.2,284,10.5,D,0
40.4382,40.2,304.9,1.6,1.2,2011-01-13,1049,Aqua,MODIS,57,6.2,283.2,15.8,D,0
38.0594,30.253,314.5,1.4,1.2,2011-01-13,1049,Aqua,MODIS,75,6.2,271.4,27.5,D,0
38.1907,27.2979,319.7,1.2,1.1,2011-01-14,1132,Aqua,MODIS,80,6.2,288.3,22.4,D,0
38.1922,27.3109,301.8,1.2,1.1,2011-01-14,1132,Aqua,MODIS,49,6.2,287.5,6.2,D,0
37.8858,29.1147,300.8,1.4,1.2,2011-01-14,1132,Aqua,MODIS,42,6.2,289.4,5.9,D,0
37.7001,38.5645,300.2,1,1,2011-01-15,1036,Aqua,MODIS,32,6.2,289,3.2,D,0
38.6834,31.2036,303,1,1,2011-01-18,1107,Aqua,MODIS,54,6.2,285.7,6.4,D,0
38.7346,26.9457,301,1.2,1.1,2011-01-18,1107,Aqua,MODIS,44,6.2,288.9,7,D,0
37.78,37.6051,321,1.9,1.3,2011-01-18,1107,Aqua,MODIS,81,6.2,287.8,49.3,D,0
36.8905,35.3783,310.9,1.4,1.2,2011-01-18,1107,Aqua,MODIS,71,6.2,290,15.5,D,0
37.7717,37.6015,308.8,1.9,1.3,2011-01-18,1107,Aqua,MODIS,68,6.2,286.9,23.8,D,0
37.7734,37.6228,301.2,1.9,1.3,2011-01-18,1107,Aqua,MODIS,42,6.2,285.3,11.6,D,0
36.7344,36.2145,306.4,1,1,2011-01-19,0832,Terra,MODIS,55,6.2,290.4,7.9,D,0
38.8894,39.8684,307.8,1.3,1.1,2011-01-19,1012,Aqua,MODIS,66,6.2,275.6,15.5,D,0
36.7364,36.2077,304.9,1.1,1,2011-01-21,0820,Terra,MODIS,45,6.2,290.8,7.4,D,0
38.6943,31.1447,301.8,1.1,1.1,2011-01-22,0902,Terra,MODIS,49,6.2,285.8,7.2,D,0
36.7391,37.5773,326.5,1,1,2011-01-22,1042,Aqua,MODIS,84,6.2,292.1,23.8,D,0
37.0388,37.1614,304.3,1,1,2011-01-22,1042,Aqua,MODIS,59,6.2,292.5,4.7,D,0
36.7375,37.5662,322.1,1,1,2011-01-22,1042,Aqua,MODIS,81,6.2,292.4,18.9,D,0
37.634,33.4171,307.1,1.2,1.1,2011-01-22,1042,Aqua,MODIS,65,6.2,284.2,11.6,D,0
37.0372,37.1503,305.9,1,1,2011-01-22,1042,Aqua,MODIS,62,6.2,293.4,5.4,D,0
36.7296,38.9519,302.3,1,1,2011-01-24,1030,Aqua,MODIS,52,6.2,273.3,7.8,D,0
36.6556,35.2999,300.5,1.8,1.3,2011-02-02,1024,Aqua,MODIS,28,6.2,284,12.1,D,0
39.9603,26.2095,308,1,1,2011-02-05,0915,Terra,MODIS,66,6.2,283.9,9.7,D,0
