latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.7325,26.9335,302.5,1.6,1.2,2003-01-06,1141,Aqua,MODIS,52,6.2,289.8,10.2,D,0
37.8189,31.607,312,1.2,1.1,2003-01-07,1045,Aqua,MODIS,54,6.2,282.5,17.8,D,0
38.9445,31.8412,307.9,2.1,1.4,2003-01-08,1128,Aqua,MODIS,63,6.2,286.3,26.4,D,0
38.3845,30.753,344.7,1.7,1.3,2003-01-08,1128,Aqua,MODIS,71,6.2,283.8,118.7,D,0
38.9442,31.8463,306.4,2.1,1.4,2003-01-08,1128,Aqua,MODIS,63,6.2,286.2,23.7,D,0
39.9194,33.3392,302.7,1.7,1.3,2003-01-10,1116,Aqua,MODIS,53,6.2,287.2,12.2,D,0
38.6867,32.8869,315.4,1.5,1.2,2003-01-10,1116,Aqua,MODIS,76,6.2,288,26,D,0
38.8124,32.7649,303.8,1.5,1.2,2003-01-10,1116,Aqua,MODIS,57,6.2,287.2,12.1,D,0
38.685,32.8691,304.1,1.5,1.2,2003-01-10,1116,Aqua,MODIS,58,6.2,287.3,11.2,D,0
38.8099,32.7722,300.7,1.5,1.2,2003-01-10,1116,Aqua,MODIS,40,6.2,287.4,8.1,D,0
37.9652,31.336,326.4,2.7,1.6,2003-01-12,0929,Terra,MODIS,48,6.2,284.2,107.2,D,0
36.2432,32.3772,305.7,1,1,2003-01-12,1103,Aqua,MODIS,62,6.2,295.2,5.3,D,0
38.2819,33.1161,300.8,1.1,1.1,2003-01-12,1104,Aqua,MODIS,33,6.2,278.6,5.6,D,0
38.7452,32.9149,309.9,1.1,1,2003-01-12,1104,Aqua,MODIS,69,6.2,284.8,13.1,D,0
39.011,31.5494,303.7,1,1,2003-01-12,1104,Aqua,MODIS,57,6.2,287,6.2,D,0
36.7259,34.3759,305.2,1,1,2003-01-14,1051,Aqua,MODIS,61,6.2,289.7,6.4,D,0
38.7447,26.9337,303.3,1,1,2003-01-14,2021,Terra,MODIS,55,6.2,273.4,10.5,N,0
38.7431,26.922,300.2,1,1,2003-01-14,2021,Terra,MODIS,19,6.2,274.2,8.7,N,0
36.7468,34.9366,301.5,1.1,1,2003-01-16,1039,Aqua,MODIS,39,6.2,288.9,4.4,D,0
40.0981,34.0247,313.9,1.1,1,2003-01-18,0851,Terra,MODIS,71,6.2,283.3,16.2,D,0
39.485,32.355,305.9,1,1,2003-01-18,0852,Terra,MODIS,62,6.2,274.6,9.7,D,0
40.0893,34.019,316.5,1.4,1.2,2003-01-18,1027,Aqua,MODIS,77,6.2,286.2,27,D,0
40.3792,33.8099,301,1.5,1.2,2003-01-18,1027,Aqua,MODIS,44,6.2,286.9,8.5,D,0
40.3762,33.8163,300.6,1.5,1.2,2003-01-18,1027,Aqua,MODIS,39,6.2,286.6,7.7,D,0
37.334,37.0541,302.5,2.1,1.4,2003-01-19,1109,Aqua,MODIS,52,6.2,288.9,14.1,D,0
37.3327,37.0496,307.3,2.1,1.4,2003-01-19,1109,Aqua,MODIS,65,6.2,289,23.1,D,0
38.6744,39.8513,300.1,1.5,1.2,2003-01-20,0839,Terra,MODIS,28,6.2,279.1,11.4,D,0
41.2367,41.1382,304.9,1.2,1.1,2003-01-22,1003,Aqua,MODIS,60,6.2,283.6,12.3,D,0
36.7305,36.2106,301.8,1.2,1.1,2003-01-24,0816,Terra,MODIS,37,6.2,286.9,7.7,D,0
36.7531,34.9273,308,1.4,1.2,2003-01-24,0816,Terra,MODIS,66,6.2,287,13.6,D,0
36.7548,34.9111,315.5,1.5,1.2,2003-01-24,0816,Terra,MODIS,66,6.2,286.8,22.9,D,0
36.7583,34.9184,326.8,1.5,1.2,2003-01-24,0816,Terra,MODIS,80,6.2,287.8,41.1,D,0
38.7881,26.9431,308.6,1,1,2003-01-26,1116,Aqua,MODIS,63,6.2,284.1,9.7,D,0
41.1837,32.6046,300.1,1.6,1.2,2003-01-26,1117,Aqua,MODIS,24,6.2,285.2,9.4,D,0
41.1854,32.6239,305.5,1.6,1.2,2003-01-26,1117,Aqua,MODIS,61,6.2,285.9,15.5,D,0
36.7284,36.214,301.7,1,1,2003-01-29,0834,Terra,MODIS,34,6.2,286.7,5.3,D,0
41.1735,32.6358,301.4,1.2,1.1,2003-02-01,1040,Aqua,MODIS,38,6.2,289.2,5.2,D,0
38.7441,26.9343,302.3,1,1,2003-02-08,0910,Terra,MODIS,52,6.2,279.9,7.5,D,0
38.7383,26.9363,302.1,1.1,1.1,2003-02-22,2027,Terra,MODIS,47,6.2,267.3,12.6,N,0
38.7368,26.9235,303.9,1.1,1.1,2003-02-22,2027,Terra,MODIS,57,6.2,269,13.7,N,0
36.7301,36.2119,301,1.1,1,2003-02-26,1032,Aqua,MODIS,0,6.2,287.4,5.4,D,0
38.5826,28.1186,302.2,1,1,2003-02-27,1116,Aqua,MODIS,51,6.2,288.1,4,D,0
41.7359,26.9842,301.3,1,1,2003-02-27,1117,Aqua,MODIS,46,6.2,288.4,3,D,0
39.9961,32.1876,302.7,1,1,2003-02-28,0845,Terra,MODIS,53,6.2,284.1,6.3,D,0
40.0792,32.9748,300.7,2,1.4,2003-02-28,1021,Aqua,MODIS,41,6.2,281.8,16,D,0
40.3447,33.9594,310.8,1.3,1.1,2003-03-01,1104,Aqua,MODIS,70,6.2,282.1,13.9,D,0
40.3547,33.9575,319.5,1.3,1.1,2003-03-01,1104,Aqua,MODIS,79,6.2,281.3,24.9,D,0
38.7496,27.7013,309.3,1.6,1.2,2003-03-03,1052,Aqua,MODIS,68,6.2,293.4,13.1,D,0
41.3625,26.805,300.8,1.5,1.2,2003-03-03,1052,Aqua,MODIS,42,6.2,288.2,6.6,D,0
36.7349,36.2093,306.6,1.1,1,2003-03-04,0821,Terra,MODIS,48,6.2,287.6,7.9,D,0
41.5251,34.7271,307.6,1,1,2003-03-05,1040,Aqua,MODIS,66,6.2,287.7,6.3,D,0
39.7209,34.5046,309.4,1.6,1.2,2003-03-08,1110,Aqua,MODIS,60,6.2,286.8,15,D,0
39.7169,44.7531,302.6,2.8,1.6,2003-03-09,0838,Terra,MODIS,53,6.2,285.2,21.2,D,0
39.0328,33.9882,315.3,1,1,2003-03-09,0839,Terra,MODIS,53,6.2,290.9,11.7,D,0
39.7251,44.743,321.4,1.1,1,2003-03-09,1014,Aqua,MODIS,74,6.2,292.8,19.5,D,0
39.7343,44.741,335.2,1.1,1,2003-03-09,1014,Aqua,MODIS,87,6.2,291.8,38.1,D,0
40.1438,31.6497,304.3,1,1,2003-03-10,1058,Aqua,MODIS,53,6.2,289.8,4.6,D,0
39.61,27.9408,309,1.2,1.1,2003-03-10,1058,Aqua,MODIS,68,6.2,287.7,12.2,D,0
36.7334,36.2119,309.1,1,1,2003-03-11,0827,Terra,MODIS,59,6.2,290.5,9.2,D,0
38.5882,28.0727,302.9,1.9,1.3,2003-03-12,1045,Aqua,MODIS,49,6.2,291.6,9,D,0
39.2811,31.1747,302.4,1.2,1.1,2003-03-12,1045,Aqua,MODIS,51,6.2,286.9,4.7,D,0
39.6673,33.402,305.4,2,1.4,2003-03-13,0814,Terra,MODIS,61,6.2,286.4,16.4,D,0
39.1136,31.9862,308.8,2.1,1.4,2003-03-13,1128,Aqua,MODIS,68,6.2,293.4,14.6,D,0
