latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.2439,40.6819,301.6,1.5,1.2,2013-01-01,1005,Aqua,MODIS,48,6.2,289,9,D,0
36.9624,40.3187,300.8,1.6,1.3,2013-01-01,1005,Aqua,MODIS,41,6.2,288.3,8.8,D,0
37.0992,40.4757,320.8,1.6,1.2,2013-01-01,1005,Aqua,MODIS,80,6.2,288.5,36.9,D,0
37.1026,40.4931,321.9,1.6,1.2,2013-01-01,1005,Aqua,MODIS,81,6.2,287.6,38.8,D,0
37.1614,40.0253,300.6,1.7,1.3,2013-01-01,1005,Aqua,MODIS,39,6.2,287.8,9.8,D,0
37.0494,40.3415,309.1,1.6,1.3,2013-01-01,1005,Aqua,MODIS,68,6.2,288.6,19.2,D,0
37.05,40.3484,309.3,1.6,1.3,2013-01-01,1005,Aqua,MODIS,54,6.2,288.9,17.6,D,0
37.0462,40.2667,302.2,1.6,1.3,2013-01-01,1005,Aqua,MODIS,51,6.2,287.6,11.4,D,0
37.3934,39.4902,303.1,1.8,1.3,2013-01-01,1005,Aqua,MODIS,55,6.2,287,14.4,D,0
37.06,40.3946,308.3,1.6,1.3,2013-01-01,1005,Aqua,MODIS,67,6.2,288.1,17.3,D,0
37.0065,40.3052,300.2,1.6,1.3,2013-01-01,1005,Aqua,MODIS,30,6.2,288.1,8.1,D,0
37.0602,40.4016,302,1.6,1.3,2013-01-01,1005,Aqua,MODIS,19,6.2,288,8.6,D,0
36.721,39.5328,307.6,4.7,2,2013-01-02,0909,Terra,MODIS,66,6.2,283.1,94.3,D,0
36.7196,39.5395,305.2,4.7,2,2013-01-02,0909,Terra,MODIS,61,6.2,283,79.1,D,0
37.0786,40.4998,313.4,1.5,1.2,2013-01-02,1048,Aqua,MODIS,74,6.2,290,19.5,D,0
37.1997,40.2214,305.7,1.4,1.2,2013-01-02,1048,Aqua,MODIS,62,6.2,289.7,10.7,D,0
37.1173,40.2094,305.9,1.4,1.2,2013-01-02,1048,Aqua,MODIS,62,6.2,289.1,11.7,D,0
37.0614,40.1864,305.6,1.4,1.2,2013-01-02,1048,Aqua,MODIS,62,6.2,288.9,10.7,D,0
37.1768,40.0015,304,1.4,1.2,2013-01-02,1048,Aqua,MODIS,58,6.2,288.9,9.2,D,0
37.1576,40.0205,303.8,1.4,1.2,2013-01-02,1048,Aqua,MODIS,53,6.2,288.2,10,D,0
37.0306,40.2451,310.3,1.4,1.2,2013-01-02,1048,Aqua,MODIS,57,6.2,288.9,14.5,D,0
37.0323,40.261,331.3,1.4,1.2,2013-01-02,1048,Aqua,MODIS,87,6.2,289,50,D,0
37.1058,40.5233,307.9,1.5,1.2,2013-01-02,1048,Aqua,MODIS,66,6.2,290.1,14,D,0
37.0572,40.1926,302.2,1.4,1.2,2013-01-02,1048,Aqua,MODIS,51,6.2,288.5,7.8,D,0
37.0831,40.2957,303.3,1.4,1.2,2013-01-02,1048,Aqua,MODIS,40,6.2,289.2,7.8,D,0
36.9933,40.3555,300.3,1.4,1.2,2013-01-02,1048,Aqua,MODIS,18,6.2,288.5,5.6,D,0
37.1027,40.2764,308.2,1.4,1.2,2013-01-02,1048,Aqua,MODIS,67,6.2,288.1,13.5,D,0
37.0803,40.5162,304.9,1.5,1.2,2013-01-02,1048,Aqua,MODIS,31,6.2,288.9,9,D,0
37.024,39.8837,311.7,1.4,1.2,2013-01-02,1048,Aqua,MODIS,72,6.2,287.4,16.8,D,0
37.0257,39.8988,304.3,1.4,1.2,2013-01-02,1048,Aqua,MODIS,54,6.2,288.2,9.3,D,0
37.2586,39.6271,300.8,1.3,1.1,2013-01-02,1048,Aqua,MODIS,34,6.2,288,5.5,D,0
37.2285,40.3967,300.8,1.5,1.2,2013-01-02,1048,Aqua,MODIS,42,6.2,289.8,6.6,D,0
37.0128,40.2804,312.2,1.4,1.2,2013-01-02,1048,Aqua,MODIS,72,6.2,288.8,18,D,0
37.0168,40.2152,304.1,1.4,1.2,2013-01-02,1048,Aqua,MODIS,58,6.2,288.7,9,D,0
37.1411,40.3354,301.4,1.4,1.2,2013-01-02,1048,Aqua,MODIS,47,6.2,287.8,7.6,D,0
37.0313,39.8923,308.4,1.4,1.2,2013-01-02,1048,Aqua,MODIS,58,6.2,287.7,13.3,D,0
37.1347,40.4852,305.7,1.5,1.2,2013-01-02,1048,Aqua,MODIS,62,6.2,288.9,11.1,D,0
37.1314,40.4525,303.3,1.5,1.2,2013-01-02,1048,Aqua,MODIS,56,6.2,288.4,8.4,D,0
37.1559,40.2126,305.5,1.4,1.2,2013-01-02,1048,Aqua,MODIS,51,6.2,288.1,9.6,D,0
37.0115,39.9204,315.3,1,1,2013-01-03,0814,Terra,MODIS,76,6.2,285.5,15.1,D,0
37.1622,40.3397,300.1,1,1,2013-01-03,0814,Terra,MODIS,28,6.2,286.7,4.9,D,0
37.1953,40.1178,301.8,1,1,2013-01-03,0814,Terra,MODIS,49,6.2,286.3,5.5,D,0
37.1827,40.0746,315.7,1,1,2013-01-03,0814,Terra,MODIS,76,6.2,286.3,15.3,D,0
37.1843,40.0635,320.8,1,1,2013-01-03,0814,Terra,MODIS,80,6.2,287.1,19.9,D,0
37.0099,39.9315,303.9,1,1,2013-01-03,0814,Terra,MODIS,57,6.2,283.8,7.1,D,0
37.001,39.9295,326.2,1,1,2013-01-03,0814,Terra,MODIS,84,6.2,285,25.2,D,0
36.9956,39.9083,306.9,2.7,1.6,2013-01-03,0953,Aqua,MODIS,64,6.2,286.7,37,D,0
37.141,40.4265,301,2.5,1.5,2013-01-03,0953,Aqua,MODIS,43,6.2,287.7,15.4,D,0
36.9997,39.9027,306.3,2.7,1.6,2013-01-03,0953,Aqua,MODIS,63,6.2,286.9,33.1,D,0
37.0978,40.2965,314.3,2.5,1.5,2013-01-03,0953,Aqua,MODIS,75,6.2,289,48.2,D,0
36.9993,40.2792,303,2.5,1.5,2013-01-03,0953,Aqua,MODIS,46,6.2,289.1,18.2,D,0
37.0126,40.2744,304,2.5,1.5,2013-01-03,0953,Aqua,MODIS,35,6.2,288.4,18.9,D,0
37.0055,40.3067,301.1,2.5,1.5,2013-01-03,0953,Aqua,MODIS,31,6.2,288.9,14.5,D,0
37.1763,40.2934,300.8,2.5,1.5,2013-01-03,0953,Aqua,MODIS,42,6.2,288.7,14.2,D,0
37.1041,40.29,316.5,2.5,1.5,2013-01-03,0953,Aqua,MODIS,75,6.2,289.2,52.6,D,0
37.0917,40.269,302.5,2.5,1.5,2013-01-03,0953,Aqua,MODIS,22,6.2,288.7,16.7,D,0
37.1561,40.4698,303.5,3.4,1.7,2013-01-04,0857,Terra,MODIS,56,6.2,286.3,38.1,D,0
36.738,39.5595,307.9,1,1,2013-01-04,1036,Aqua,MODIS,66,6.2,286.3,8.7,D,0
36.7201,39.5633,309.7,1,1,2013-01-04,1036,Aqua,MODIS,69,6.2,286,10.6,D,0
37.0609,40.4739,301.1,1.1,1,2013-01-04,1036,Aqua,MODIS,33,6.2,282.9,4.3,D,0
37.0992,40.5517,304.3,1.1,1,2013-01-04,1036,Aqua,MODIS,59,6.2,288.3,7,D,0
36.9652,40.2934,309.2,1.1,1,2013-01-04,1036,Aqua,MODIS,65,6.2,286.3,9.2,D,0
37.0671,40.4484,303.7,1.1,1,2013-01-04,1036,Aqua,MODIS,51,6.2,284.7,5.8,D,0
37.1107,40.2154,300.2,1.1,1,2013-01-04,1036,Aqua,MODIS,25,6.2,284.6,4.5,D,0
37.0656,40.4365,311,1.1,1,2013-01-04,1036,Aqua,MODIS,71,6.2,284.5,11.4,D,0
36.9668,40.305,309.7,1.1,1,2013-01-04,1036,Aqua,MODIS,65,6.2,287.9,9.6,D,0
37.1243,40.3937,300.3,1.1,1,2013-01-04,1036,Aqua,MODIS,35,6.2,280.8,4.5,D,0
37.1007,40.5636,305.2,1.1,1,2013-01-04,1036,Aqua,MODIS,61,6.2,289.1,7.7,D,0
36.8148,39.1107,302.9,1,1,2013-01-04,1036,Aqua,MODIS,54,6.2,286.2,5.8,D,0
37.1274,40.2721,308.7,1.1,1,2013-01-04,1036,Aqua,MODIS,56,6.2,283.5,9.1,D,0
37.0549,40.3539,301.3,1.1,1,2013-01-04,1036,Aqua,MODIS,44,6.2,285.9,4.9,D,0
38.7348,26.9494,301,1.1,1,2013-01-14,1113,Aqua,MODIS,43,6.2,289.3,5.5,D,0
37.026,39.9463,312.3,1.7,1.3,2013-01-15,0839,Terra,MODIS,72,6.2,284.6,28.7,D,0
37.1883,40.3072,300.1,1.7,1.3,2013-01-15,0839,Terra,MODIS,24,6.2,285.6,11.1,D,0
36.8651,35.396,301.4,1,1,2013-01-15,0839,Terra,MODIS,46,6.2,286.1,6.3,D,0
37.0223,39.9646,307.6,1.7,1.3,2013-01-15,0839,Terra,MODIS,66,6.2,284.5,21.8,D,0
37.173,40.339,303,1.1,1.1,2013-01-15,1017,Aqua,MODIS,54,6.2,286.8,7.1,D,0
37.0697,40.2811,305.6,1.1,1.1,2013-01-15,1017,Aqua,MODIS,62,6.2,288.5,7.8,D,0
37.0546,40.4481,305.9,1.1,1.1,2013-01-15,1017,Aqua,MODIS,62,6.2,287,9.1,D,0
37.1565,40.5067,301.6,1.1,1.1,2013-01-15,1017,Aqua,MODIS,48,6.2,287,6.3,D,0
37.1001,40.2861,301.6,1.1,1.1,2013-01-15,1017,Aqua,MODIS,48,6.2,288.1,5.8,D,0
37.0202,40.418,302.1,1.1,1.1,2013-01-15,1017,Aqua,MODIS,51,6.2,286.5,6.8,D,0
37.1334,40.1641,304.5,1.2,1.1,2013-01-15,1017,Aqua,MODIS,59,6.2,285.9,8.5,D,0
37.1253,40.319,306.2,1.1,1.1,2013-01-15,1017,Aqua,MODIS,46,6.2,288.6,8.5,D,0
36.9102,40.2027,300.5,1.2,1.1,2013-01-15,1017,Aqua,MODIS,38,6.2,289.3,5.2,D,0
37.1586,40.5191,307.4,1.1,1.1,2013-01-15,1017,Aqua,MODIS,65,6.2,287.4,10.2,D,0
37.0181,40.4054,300.2,1.1,1.1,2013-01-15,1017,Aqua,MODIS,33,6.2,286.5,5.5,D,0
37.1022,40.2988,303.5,1.1,1.1,2013-01-15,1017,Aqua,MODIS,47,6.2,288.1,6.5,D,0
37.0654,40.2556,307,1.2,1.1,2013-01-15,1017,Aqua,MODIS,65,6.2,289.1,9.1,D,0
37.1311,40.324,300.8,1.1,1.1,2013-01-15,1017,Aqua,MODIS,41,6.2,287.7,5.7,D,0
37.1517,40.1869,307.3,2.2,1.4,2013-01-16,1100,Aqua,MODIS,63,6.2,288.8,20.5,D,0
37.035,40.3573,301.8,2.2,1.4,2013-01-16,1100,Aqua,MODIS,49,6.2,289.2,12.4,D,0
37.1835,40.4529,304.8,2.3,1.5,2013-01-16,1100,Aqua,MODIS,60,6.2,290.4,18.7,D,0
37.1738,40.459,308.7,2.3,1.5,2013-01-16,1100,Aqua,MODIS,67,6.2,289.9,25.2,D,0
36.6924,33.4953,303.8,1,1,2013-01-16,1100,Aqua,MODIS,57,6.2,280,8.2,D,0
37.0182,39.9625,326,2.1,1.4,2013-01-16,1100,Aqua,MODIS,75,6.2,289.6,65.9,D,0
